iter	Passed	Remaining
136	10536	82519
137	10621	82512
138	10700	82445
139	10785	82435
140	10868	82398
141	10944	82317
142	11026	82277
143	11100	82177
144	11170	82048
145	11251	81997
146	11335	81968
147	11410	81880
148	11488	81805
149	11576	81805
150	11657	81753
151	11742	81735
152	11826	81700
153	11897	81585
154	11978	81532
155	12049	81414
156	12120	81291
157	12194	81190
158	12263	81061
159	12337	80962
160	12421	80933
161	12508	80916
162	12583	80830
163	12661	80752
164	12731	80633
165	12823	80648
166	12908	80619
167	12992	80582
168	13068	80496
169	13144	80414
170	13228	80377
171	13315	80357
172	13387	80245
173	13469	80200
174	13551	80148
175	13625	80050
176	13722	80087
177	13794	79978
178	13882	79959
179	13957	79869
180	14064	79960
181	14157	79964
182	14239	79912
183	14312	79806
184	14384	79699
185	14464	79634
186	14535	79519
187	14618	79467
188	14700	79412
189	14769	79290
190	14849	79221
191	14929	79157
192	15012	79106
193	15095	79054
194	15178	79006
195	15250	78895
196	15334	78854
197	15414	78786
198	15488	78687
199	15571	78637
200	15641	78520
201	15722	78457
202	15808	78420
203	15889	78359
204	15971	78298
205	16051	78231
206	16122	78120
207	16200	78041
208	16276	77957
209	16348	77851
210	16430	77790
211	16513	77736
212	16582	77620
213	16655	77516
214	16722	77392
215	16809	77355
216	16893	77307
217	16970	77221
218	17037	77096
219	17119	77039
220	17201	76979
221	17271	76867
222	17352	76800
223	17420	76679
224	17502	76622
225	17571	76504
226	17637	76378
227	17720	76321
228	17794	76230
229	17872	76150
230	17945	76053
231	18028	75999
232	18110	75940
233	18192	75880
234	18272	75811
235	18347	75722
236	18425	75644
237	18504	75574
238	18581	75493
239	18653	75392
240	18737	75340
241	18815	75261
242	18898	75206
243	18970	75104
244	19054	75049
245	19133	74980
246	19207	74886
247	19276	74773
248	19347	74672
249	19416	74560
250	19477	74417
251	19559	74356
252	19629	74248
253	19707	74176
254	19782	74086
255	19857	73999
256	19934	73919
257	20015	73856
258	20092	73777
259	20170	73698
260	20254	73644
261	20335	73581
262	20404	73470
263	20470	73350
264	20552	73291
265	20632	73222
266	20714	73160
267	20787	73066
268	20874	73021
269	20945	72922
270	21031	72873
271	21097	72756
272	21175	72679
273	21251	72597
274	21338	72549
275	21419	72484
276	21498	72410
277	21574	72328
278	21650	72244
279	21719	72140
280	21801	72077
281	21886	72024
282	21967	71957
283	22047	71885
284	22124	71807
285	22198	71716
286	22270	71623
287	22353	71562
288	22424	71464
289	22508	71405
290	22582	71317
291	22661	71244
292	22732	71147
293	22806	71055
294	22892	71005
295	22965	70914
296	23049	70854
297	23119	70755
298	23190	70657
299	23274	70599
300	23350	70515
301	23428	70441
302	23504	70358
303	23579	70272
304	23650	70175
305	23759	70190
306	23836	70110
307	23912	70028
308	24012	70017
309	24100	69968
310	24167	69859
311	24239	69766
312	24323	69706
313	24408	69650
314	24491	69585
315	24571	69515
316	24654	69453
317	24733	69378
318	24808	69293
319	24875	69184
320	24950	69100
321	25021	69003
322	25090	68901
323	25161	68806
324	25247	68750
325	25327	68679
326	25409	68613
327	25479	68516
328	25564	68456
329	25636	68363
330	25710	68277
331	25795	68217
332	25869	68131
333	25951	68063
334	26031	67992
335	26110	67919
336	26192	67850
337	26266	67764
338	26338	67670
339	26403	67561
340	26474	67467
341	26541	67363
342	26605	67249
343	26675	67154
344	26755	67083
345	26828	66994
346	26899	66899
347	26981	66833
348	27060	66759
349	27131	66666
350	27209	66590
351	27293	66526
352	27373	66455
353	27444	66362
354	27511	66259
355	27585	66174
356	27666	66104
357	27735	66008
358	27805	65911
359	27877	65822
360	27956	65748
361	28035	65674
362	28112	65595
363	28186	65510
364	28263	65432
365	28346	65366
366	28425	65292
367	28493	65194
368	28565	65103
369	28635	65010
370	28722	64954
371	28802	64883
372	28863	64769
373	28944	64700
374	29024	64627
375	29099	64545
376	29187	64491
377	29263	64411
378	29343	64339
379	29426	64273
380	29504	64196
381	29586	64129
382	29667	64059
383	29750	63995
384	29830	63922
385	29905	63840
386	29985	63766
387	30067	63699
388	30141	63614
389	30220	63540
390	30301	63469
391	30386	63407
392	30456	63315
393	30539	63250
394	30611	63161
395	30681	63066
396	30757	62986
397	30839	62919
398	30910	62827
399	30987	62749
